t_sec,x1_load,x2_load,x3_load,x4_load,x5_load,x6_diff,y_lower_t-1,y_upper_t-1
9000.0,1.81713,2.197989,2.329644,1.871745,1.472439,148.5677,2054.652,2031.824
9060.0,1.799045,2.16833,2.287326,1.865234,1.446398,168.92356,2054.652,2031.922
9240.0,1.779152,2.152055,2.296007,1.842086,1.416016,163.13654,2052.211,2032.02
9300.0,1.77011,2.141565,2.294922,1.835938,1.409505,162.63021,2053.188,2032.02
9360.0,1.764323,2.136502,2.293113,1.829427,1.400463,162.64464,2053.188,2032.02
9420.0,1.764323,2.137587,2.286603,1.824002,1.392144,161.96474999999998,2053.188,2032.02
9480.0,1.757813,2.132523,2.284071,1.818576,1.383464,160.89414,2053.188,2032.02
9540.0,1.752749,2.127821,2.28371,1.812066,1.37406,160.77832,2053.188,2031.824
9600.0,1.747685,2.123842,2.282263,1.806279,1.367911,160.51794,2053.188,2031.824
9660.0,1.742622,2.119502,2.280454,1.800854,1.361762,160.46012000000002,2053.188,2031.727
9720.0,1.73792,2.118056,2.279369,1.796152,1.352358,185.083879,2053.188,2031.727
9780.0,1.734664,2.115162,2.280454,1.791811,1.34621,185.63371899999999,2053.188,1838.367
9840.0,1.731048,2.111907,2.279731,1.787471,1.339337,187.58677690000002,2053.188,338.4648
9900.0,1.726707,2.107567,2.277922,1.782408,1.332827,187.87619722,2053.188,0.0
9960.0,1.716942,2.093461,2.258753,1.766855,1.318359,3.125,2053.188,0.0
10020.0,1.711155,2.090205,2.255136,1.762153,1.311849,4.5862273,1218.031,0.0
10080.0,1.706091,2.086589,2.252242,1.757451,1.304977,1.44675922,138.6367,0.0
10140.0,1.700304,2.083695,2.253689,1.754196,1.299552,100.2025,271.5469,0.0
10200.0,1.695964,2.081525,2.253689,1.751302,1.292679,81.56828200000001,566.4688,0.0
10260.0,1.690538,2.077908,2.252242,1.746962,1.286892,80.541082,567.25,0.0
10320.0,1.685836,2.071398,2.24754,1.74877,1.285084,-17.824070000000006,567.3477,112.0977
10380.0,1.681858,2.069951,2.245732,1.743345,1.278573,-15.29225000000001,567.4453,512.6836
10440.0,1.677517,2.067419,2.244285,1.737558,1.272063,-15.118640000000013,567.4453,512.7813
10500.0,1.673177,2.06344,2.23886,1.735749,1.265553,-13.657409999999999,567.3477,512.7813
10560.0,1.668837,2.06127,2.23669,1.731048,1.260489,-13.353590000000011,567.4453,512.8789
10620.0,1.665582,2.058377,2.233435,1.726707,1.255425,-11.762149999999991,567.4453,512.8789
10680.0,1.662688,2.055845,2.230903,1.723452,1.251085,-11.082179999999994,567.4453,512.8789
10740.0,1.657986,2.05259,2.228733,1.719835,1.24783,-10.83623,567.3477,512.9766
10800.0,1.653646,2.050058,2.225839,1.716942,1.242404,-10.662620000000004,567.3477,512.9766
10860.0,1.649306,2.047164,2.222584,1.713325,1.237341,-10.604740000000007,567.25,512.8789
10920.0,1.646412,2.044271,2.220052,1.709708,1.231915,-10.575810000000004,567.3477,512.8789
10980.0,1.641348,2.041016,2.216797,1.706452,1.227214,-10.47455,567.25,512.8789
11040.0,1.637732,2.038484,2.213903,1.703197,1.222512,-10.517949999999992,567.25,512.8789
11100.0,1.633753,2.03559,2.210286,1.69958,1.218533,-10.489009999999993,567.25,512.8789
11160.0,1.630136,2.032697,2.207393,1.696325,1.213831,-10.474529999999994,567.25,512.8789
11220.0,1.626881,2.030527,2.204499,1.693793,1.210576,-10.48901,567.25,512.7813
11280.0,1.623626,2.027633,2.201606,1.690538,1.207321,-10.532409999999999,567.1523,512.7813
11340.0,1.620009,2.025463,2.198351,1.687645,1.203704,-10.431139999999992,567.1523,512.7813
11400.0,1.616392,2.022569,2.195096,1.684751,1.200087,-10.460069999999995,567.1523,512.7813
11460.0,1.613498,2.020038,2.19184,1.681496,1.19647,-10.474539999999998,567.0547,512.7813
11520.0,1.610243,2.017144,2.189308,1.678241,1.19213,-10.503479999999996,567.0547,512.7813
11580.0,1.606626,2.014612,2.186415,1.675347,1.188513,-10.445600000000006,567.0547,512.7813
11640.0,1.603733,2.01208,2.182436,1.672454,1.184896,-10.474539999999998,567.0547,512.7813
11700.0,1.600477,2.009549,2.179543,1.66956,1.181641,-10.50347,566.957,512.6836
11760.0,1.597584,2.007017,2.176288,1.667028,1.178747,-10.474529999999994,566.957,512.6836
11820.0,1.59469,2.004123,2.173033,1.664497,1.174768,-10.503470000000007,566.957,512.6836
11880.0,1.592159,2.001953,2.169777,1.662688,1.172598,-10.474540000000005,566.957,512.5859
11940.0,1.589265,1.999421,2.166522,1.659795,1.168258,-10.460069999999995,566.8594,512.5859
12000.0,1.586733,1.997251,2.163267,1.657624,1.165365,-10.50347,566.8594,512.5859
12060.0,1.58384,1.995081,2.160012,1.654731,1.162471,-10.489000000000004,566.8594,512.5859
12120.0,1.581308,1.992549,2.157118,1.651114,1.161024,-10.50347,566.8594,512.5859
12180.0,1.578053,1.990017,2.153863,1.64822,1.156684,-10.546880000000002,566.8594,512.5859
12240.0,1.575883,1.987847,2.150608,1.645689,1.151982,-10.532410000000006,566.7617,512.5859
12300.0,1.572627,1.985315,2.146629,1.642795,1.149089,-10.546869999999998,566.7617,512.5859
12360.0,1.569372,1.982784,2.143374,1.640263,1.146195,-10.575810000000004,566.7617,512.4883
12420.0,1.566479,1.980613,2.139757,1.637732,1.143301,-10.575809999999997,566.7617,512.4883
12480.0,1.563947,1.978443,2.136502,1.635923,1.140408,-10.532409999999999,566.6641,512.4883
12540.0,1.561053,1.975911,2.13397,1.632668,1.137514,-10.532409999999999,566.6641,512.3906
12600.0,1.558521,1.973741,2.131076,1.630136,1.134621,-10.561340000000001,566.6641,512.3906
12660.0,1.556351,1.97121,2.128906,1.628327,1.132089,-10.561340000000001,566.6641,512.3906
12720.0,1.553458,1.969039,2.125651,1.626519,1.129557,-10.532409999999999,566.6641,512.3906
12780.0,1.550926,1.967231,2.123119,1.623626,1.126302,-10.59028,566.6641,512.3906
12840.0,1.548756,1.965061,2.119502,1.621094,1.123409,-10.50347,566.6641,512.3906
12900.0,1.542245,1.961444,2.115524,1.618924,1.117983,-10.575809999999997,566.6641,512.3906
12960.0,1.537543,1.957104,2.111907,1.615668,1.114005,-10.517949999999999,566.5664,512.3906
13020.0,1.534288,1.952402,2.107928,1.612413,1.110749,-10.546880000000002,566.5664,512.3906
13080.0,1.531395,1.949508,2.104311,1.609881,1.107494,-10.575809999999997,566.5664,512.3906
13140.0,1.528501,1.947338,2.101418,1.607711,1.104601,-10.590269999999997,566.4688,512.293
13200.0,1.525608,1.944083,2.097439,1.605179,1.101346,-10.575809999999997,566.4688,512.293
13260.0,1.523438,1.941551,2.094546,1.603009,1.098814,-10.575809999999997,566.4688,512.293
13320.0,1.520544,1.939019,2.09129,1.600477,1.095197,-10.575810000000004,566.4688,512.293
13380.0,1.517289,1.936849,2.088397,1.597946,1.092665,-10.575810000000004,566.4688,512.1953
13440.0,1.514757,1.933955,2.08695,1.595775,1.08941,-10.575810000000004,566.4688,512.293
13500.0,1.512225,1.932147,2.084057,1.593605,1.086878,-10.619210000000002,566.4688,512.1953
13560.0,1.509332,1.929615,2.081163,1.590712,1.083984,-10.604759999999999,566.4688,512.293
13620.0,1.5068,1.927445,2.077185,1.588903,1.081452,-10.561340000000001,566.4688,512.293
13680.0,1.503906,1.925275,2.074653,1.586372,1.079282,-10.604750000000003,566.4688,512.293
13740.0,1.501736,1.922743,2.071759,1.58384,1.076027,-10.575810000000004,566.3711,512.293
13800.0,1.499204,1.921296,2.069227,1.58167,1.073495,-10.517940000000003,566.3711,512.293
13860.0,1.497034,1.919126,2.065972,1.578776,1.070964,-10.546869999999998,566.3711,512.1953
13920.0,1.494502,1.916594,2.061994,1.576967,1.067708,-10.517940000000003,566.3711,512.1953
13980.0,1.491247,1.914424,2.0591,1.574436,1.065538,-10.532409999999999,566.2734,512.1953
14040.0,1.489439,1.912254,2.05693,1.572266,1.063368,-10.50347,566.2734,512.1953
14100.0,1.486545,1.910446,2.052951,1.569372,1.060836,-10.489000000000004,566.2734,512.0977
14160.0,1.483652,1.907914,2.049696,1.567564,1.057943,-10.517940000000003,566.2734,512.0977
14220.0,1.481482,1.905744,2.046441,1.565032,1.055049,-10.474539999999998,566.2734,512.0977
14280.0,1.478588,1.903935,2.043547,1.562862,1.052879,-10.431130000000003,566.2734,512.0977
14340.0,1.476418,1.901042,2.040654,1.560692,1.049986,-10.50347,566.3711,512.0977
14400.0,1.473886,1.899233,2.037037,1.55816,1.047092,-10.460070000000002,566.3711,512.0977
14460.0,1.470992,1.896701,2.034867,1.556351,1.044922,-10.387729999999998,566.2734,512.0977
14520.0,1.469184,1.894531,2.032335,1.553819,1.04239,-10.431129999999996,566.2734,512.0977
14580.0,1.46629,1.892723,2.030165,1.552011,1.04022,-10.387730000000005,566.2734,512.0977
14640.0,1.463759,1.890191,2.027633,1.550202,1.037688,-10.402199999999993,566.2734,512.0
14700.0,1.46195,1.888021,2.025463,1.547309,1.036241,-10.315400000000004,566.1758,512.0977
14760.0,1.459418,1.886212,2.022569,1.545501,1.034071,-10.31539,566.1758,512.0977
14820.0,1.457248,1.884404,2.022931,1.543692,1.031178,-10.329860000000004,566.1758,512.0977
14880.0,1.455078,1.881872,2.019314,1.541522,1.029731,-10.300920000000005,566.1758,512.0
14940.0,1.452546,1.879702,2.016783,1.539352,1.026837,-10.32985,566.1758,512.0977
15000.0,1.450738,1.878617,2.014612,1.537543,1.024306,-10.24306,566.1758,512.0977
15060.0,1.447844,1.876085,2.011719,1.535735,1.022497,-10.286459999999998,566.1758,512.0
15120.0,1.446036,1.873915,2.00991,1.533565,1.020327,-10.24306,566.1758,512.0
15180.0,1.443866,1.872468,2.008464,1.531395,1.018157,-10.15625,566.1758,512.0
15240.0,1.441696,1.870298,2.006655,1.529225,1.01671,-10.127310000000001,566.1758,512.0
15300.0,1.439525,1.868128,2.004847,1.527054,1.014178,-10.17071,566.1758,512.0
15360.0,1.438079,1.866681,2.0034,1.525246,1.012008,-10.15625,566.1758,512.0
15420.0,1.435185,1.864511,2.001591,1.523438,1.009476,-10.14179,566.1758,511.9023
15480.0,1.433738,1.862702,2.000506,1.521991,1.007668,-10.098370000000003,566.1758,511.9023
15540.0,1.431568,1.860533,1.998336,1.520182,1.006221,-10.112850000000002,566.1758,511.9023
15600.0,1.42976,1.859086,1.996528,1.518012,1.003689,-10.112840000000006,566.1758,511.9023
15660.0,1.427228,1.857277,1.995443,1.516204,1.002242,-10.026030000000006,566.0781,511.9023
15720.0,1.425058,1.855107,1.991464,1.514034,0.9997106,-9.99711,566.0781,511.9023
15780.0,1.422526,1.85366,1.988209,1.512948,0.9979022,-9.982639999999996,566.0781,511.9023
15840.0,1.421079,1.851128,1.988571,1.510778,0.995732,-9.939239999999998,566.0781,511.9023
15900.0,1.418548,1.848958,1.986762,1.508608,0.9935619,-9.9103,566.0781,511.9023
15960.0,1.417462,1.847512,1.984954,1.5068,0.9917535,-9.89584,566.0781,511.9023
16020.0,1.414569,1.845703,1.983507,1.505353,0.9895834,-9.895830000000004,566.0781,511.9023
16080.0,1.41276,1.843171,1.980252,1.503183,0.9874132,-9.852429999999998,566.0781,511.9023
16140.0,1.410229,1.841363,1.97772,1.500289,0.9848814,-9.837959999999995,566.0781,511.9023
16200.0,1.40842,1.839554,1.976635,1.498481,0.9827113,-9.866900000000001,565.9805,511.9023
16260.0,1.40625,1.837746,1.974465,1.497034,0.9798177,-9.866900000000001,565.9805,511.9023
16320.0,1.404442,1.835576,1.972295,1.495587,0.9780092,-9.837960000000002,565.9805,511.9023
16380.0,1.40191,1.833767,1.970848,1.493779,0.9758391,-9.765630000000002,565.9805,511.9023
16440.0,1.400825,1.831959,1.969401,1.492332,0.973669,-9.736689999999996,566.0781,511.9023
16500.0,1.399016,1.83015,1.967954,1.4898,0.9714988,-9.751150000000003,566.0781,511.8047
16560.0,1.397208,1.828704,1.965061,1.487992,0.968967,-9.635420000000003,566.0781,511.8047
16620.0,1.395761,1.826172,1.961444,1.486183,0.9667969,-9.693280000000001,566.0781,511.8047
16680.0,1.392867,1.824363,1.959274,1.485098,0.964265,-9.635420000000003,566.0781,511.8047
16740.0,1.391059,1.822917,1.959274,1.483652,0.9624566,-9.63541,565.9805,511.8047
16800.0,1.388527,1.820385,1.957465,1.481482,0.9602865,-9.649890000000006,565.9805,511.8047
16860.0,1.386719,1.817853,1.955295,1.479311,0.9577546,-9.56308,565.9805,511.8047
16920.0,1.38491,1.816045,1.952402,1.477503,0.9555845,-9.606480000000005,565.9805,511.8047
16980.0,1.383102,1.813513,1.950232,1.476056,0.9541377,-9.548610000000004,565.9805,511.8047
17040.0,1.382017,1.811704,1.948061,1.474248,0.9516059,-9.519669999999998,565.9805,511.8047
17100.0,1.379847,1.809896,1.94553,1.473524,0.9490741,-9.519679999999994,565.9805,511.707
17160.0,1.378762,1.808449,1.944444,1.470992,0.9465423,-9.432870000000001,565.9805,511.707
17220.0,1.377315,1.806279,1.942274,1.469546,0.9440104,-9.505209999999998,565.8828,511.707
17280.0,1.375506,1.805194,1.941189,1.467376,0.9407552,-9.447330000000001,565.9805,511.707
17340.0,1.373698,1.802662,1.940104,1.465929,0.9385851,-9.46181,565.8828,511.707
17400.0,1.371889,1.800492,1.937934,1.464482,0.9360533,-9.375,565.8828,511.707
17460.0,1.370081,1.798683,1.934679,1.462674,0.9331597,-9.418400000000005,565.8828,511.707
17520.0,1.368273,1.797237,1.933232,1.460503,0.9313512,-9.346060000000001,565.8828,511.707
