t_sec,x1_load,x2_load,x3_load,x4_load,x5_load,x6_diff,y_lower_t-1,y_upper_t-1,y_lower_t-2,y_upper_t-2,y_lower_t-3,y_upper_t-3,dt_current,dt_prev,dt_prev2,y_lower,y_upper,C组推进压力,E组推进压力
42660.0,1.808449,2.090929,2.301432,1.863788,1.585286,149.36344000000003,1268.031,1234.852,1200.063,1166.395,1132.875,1099.207,60.0,60.0,60.0,1338.051,1304.676,213.8889,64.52546
42720.0,1.857639,2.264178,2.462023,2.033058,1.63737,155.52659,1338.051,1304.676,1268.031,1234.852,1200.063,1166.395,60.0,60.0,60.0,1370.766,1337.879,216.059,60.53241
42780.0,1.743707,2.035229,2.196542,1.682943,1.425058,153.1395,1370.766,1337.879,1338.051,1304.676,1268.031,1234.852,60.0,60.0,60.0,1438.051,1404.578,211.8924,58.7529
42840.0,1.740451,2.115524,2.362196,1.878979,1.545501,158.44906,1438.051,1404.578,1370.766,1337.879,1338.051,1304.676,60.0,60.0,60.0,1507.484,1473.621,217.4479,58.99884
42900.0,1.809173,2.174117,2.270689,1.749855,1.472077,150.01444,1507.484,1473.621,1438.051,1404.578,1370.766,1337.879,60.0,60.0,60.0,1576.234,1542.371,209.3605,59.34606
42960.0,1.801577,2.140119,2.302517,1.851128,1.525246,156.77087,1576.234,1542.371,1507.484,1473.621,1438.051,1404.578,60.0,60.0,60.0,1642.152,1607.996,217.1152,60.34433
43020.0,1.810619,2.211733,2.340133,1.847512,1.406612,150.63662000000002,1642.152,1607.996,1576.234,1542.371,1507.484,1473.621,60.0,60.0,60.0,1710.023,1675.965,210.735,60.09838
43140.0,1.855107,2.15531,2.195096,1.937211,1.592159,161.06763999999998,1710.023,1675.965,1642.152,1607.996,1576.234,1542.371,120.0,60.0,60.0,1772.523,1738.856,218.6342,57.56656
43200.0,1.735026,2.115162,2.414641,2.034505,1.557436,153.02374,1772.523,1738.856,1710.023,1675.965,1642.152,1607.996,60.0,120.0,60.0,1841.469,1807.703,210.1852,57.16146
43260.0,1.76577,1.983145,2.21101,1.995081,1.6352,157.39298,1841.469,1807.703,1772.523,1738.856,1710.023,1675.965,60.0,60.0,120.0,1910.121,1876.063,216.0446,58.65162
